Name,SKU,Description,Regular price,Categories,Images,Published,Type,UPC,Status
Alpina Alpina Productos Alimenticios Avena Oatmeal,alpina-alpina-productos-alimenticios-avena-oatmeal-,"","","",alpina-alpina-productos-alimenticios-avena-oatmeal-.jpg,1,simple,"",verified
Alpina Avena Original,alpina-avena-original,"","","",alpina-avena-original.jpg,1,simple,"",verified
Alpina Avoines,alpina-avoines,"","","",alpina-avoines.jpg,1,simple,"",verified
Alpina Crema Azucarada,alpina-crema-azucarada,"","","",alpina-crema-azucarada.jpg,1,simple,"",verified
D Grico Yogurt Drink,d-grico-yogurt-drink,"","","",d-grico-yogurt-drink.jpg,0,simple,"",needs_review
Danone Danonino Smoothie Mango Maracuya,danone-danonino-smoothie-mango-maracuya,"","","",danone-danonino-smoothie-mango-maracuya.jpg,1,simple,"",verified
Danone Light Fit Strawberry,danone-light-fit-strawberry,"","","",danone-light-fit-strawberry.jpg,1,simple,"",verified
Danone Yogurt,danone-yogurt,"","","",danone-yogurt.jpg,1,simple,"",verified
Del Prado Crema Mexicana,del-prado-crema-mexicana,"","","",del-prado-crema-mexicana.jpg,0,simple,"",needs_review
Del Prado Crema,del-prado-crema,"","","",del-prado-crema.jpg,0,simple,"",needs_review
El Mexicano Crema Ala Vaquera,el-mexicano-crema-ala-vaquera,"","","",el-mexicano-crema-ala-vaquera.jpg,1,simple,"",verified
El Mexicano Crema La Sque A Sour Cream,el-mexicano-crema-la-sque-a-sour-cream,"","","",el-mexicano-crema-la-sque-a-sour-cream.jpg,1,simple,"",verified
El Mexicano Crema Mexicana Sour Cream,el-mexicano-crema-mexicana-sour-cream,"","","",el-mexicano-crema-mexicana-sour-cream.jpg,1,simple,"",verified
El Mexicano Crema Salvadore A,el-mexicano-crema-salvadore-a,"","","",el-mexicano-crema-salvadore-a.jpg,1,simple,"",verified
El Mexicano Marquez Brothers International Inc Whol,el-mexicano-marquez-brothers-international-inc-whol,"","","",el-mexicano-marquez-brothers-international-inc-whol.jpg,1,simple,"",verified
Electro Power Squirt,electro-power-squirt,"","","",electro-power-squirt.jpg,0,simple,"",needs_review
Fud Crema Mexicana,fud-crema-mexicana,"","","",fud-crema-mexicana.jpg,0,simple,"",needs_review
Fud Crema Nativa,fud-crema-nativa,"","","",fud-crema-nativa.jpg,0,simple,"",needs_review
Fud Crema Natural,fud-crema-natural,"","","",fud-crema-natural.jpg,0,simple,"",needs_review
Gastro Yogur Yogurt Para Beber Fresa,gastro-yogur-yogurt-para-beber-fresa,"","","",gastro-yogur-yogurt-para-beber-fresa.jpg,0,simple,"",needs_review
Goya Goya Foods Inc Goya Premium Delight Nectar Gua,goya-goya-foods-inc-goya-premium-delight-nectar-gua,"","","",goya-goya-foods-inc-goya-premium-delight-nectar-gua.jpg,1,simple,"",verified
Goya Goya Foods Inc Premium Delight Nectar Pear Per,goya-goya-foods-inc-premium-delight-nectar-pear-per,"","","",goya-goya-foods-inc-premium-delight-nectar-pear-per.jpg,1,simple,"",verified
Goya Mango Nectar,goya-mango-nectar,"","","",goya-mango-nectar.jpg,1,simple,"",verified
Goya N Ctar De Tamarindo,goya-n-ctar-de-tamarindo,"","","",goya-n-ctar-de-tamarindo.jpg,1,simple,"",verified
Goya Nectar De Melocoton,goya-nectar-de-melocoton,"","","",goya-nectar-de-melocoton.jpg,1,simple,"",verified
Goya Parcha Maracuy,goya-parcha-maracuy,"","","",goya-parcha-maracuy.jpg,1,simple,"",verified
Goya Pineapple Juice,goya-pineapple-juice,"","","",goya-pineapple-juice.jpg,1,simple,"",verified
Goya Smoothie Strawberry Banana,goya-smoothie-strawberry-banana,"","","",goya-smoothie-strawberry-banana.jpg,1,simple,"",verified
Goya Soursop Nectar,goya-soursop-nectar,"","","",goya-soursop-nectar.jpg,1,simple,"",verified
Kesito Yogurt Arroz Cereal,kesito-yogurt-arroz-cereal,"","","",kesito-yogurt-arroz-cereal.jpg,0,simple,"",needs_review
